instance_id,mode,step,epoch,Dice,loss,epoch_time,since_best_Dice,max_Dice,steps/sec
t115,eval,5,1,1.4455802287990018e-13,,,,,
t35,eval,5,1,1.8506134241325676e-13,,,,,
t126,eval,5,1,1.50178142955725e-13,,,,,
t26,eval,5,1,2.0820603418494757e-13,,,,,
t121,eval,5,1,1.108735702614787e-13,,,,,
t42,eval,5,1,1.4470356682985176e-13,,,,,
t116,eval,5,1,1.955195025739073e-13,,,,,
t38,eval,5,1,1.2571290511718694e-13,,,,,
t21,eval,5,1,1.908889309772105e-13,,,,,
t53,eval,5,1,1.6273225420657053e-13,,,,,
t55,eval,5,1,1.4352482160871773e-13,,,,,
t43,eval,5,1,1.5193960400738397e-13,,,,,
t111,eval,5,1,1.5517474434049235e-13,,,,,
t71,eval,5,1,1.0273863475924674e-13,,,,,
t24,eval,5,1,1.1755083568540766e-13,,,,,
t30,eval,5,1,1.731207221514224e-13,,,,,
t78,eval,5,1,1.1387818290632018e-13,,,,,
t73,eval,5,1,2.1019211723723663e-13,,,,,
t40,eval,5,1,1.8747453348862867e-13,,,,,
t133,eval,5,1,1.7647279820022208e-13,,,,,
t115,eval,10,2,1.4455802287990018e-13,,,,,
t35,eval,10,2,1.8506134241325676e-13,,,,,
t126,eval,10,2,0.0004504329612388858,,,,,
t26,eval,10,2,2.0820603418494757e-13,,,,,
t121,eval,10,2,1.108735702614787e-13,,,,,
t42,eval,10,2,1.4470356682985176e-13,,,,,
t116,eval,10,2,1.955195025739073e-13,,,,,
t38,eval,10,2,1.2571290511718694e-13,,,,,
t21,eval,10,2,1.908889309772105e-13,,,,,
t53,eval,10,2,1.6273225420657053e-13,,,,,
t55,eval,10,2,1.4352482160871773e-13,,,,,
t43,eval,10,2,3.0387459247563913e-05,,,,,
t111,eval,10,2,1.5517474434049235e-13,,,,,
t71,eval,10,2,1.0273863475924674e-13,,,,,
t24,eval,10,2,1.1755083568540766e-13,,,,,
t30,eval,10,2,1.731207221514224e-13,,,,,
t78,eval,10,2,0.0002505006232964049,,,,,
t73,eval,10,2,2.1019211723723663e-13,,,,,
t40,eval,10,2,1.8747453348862867e-13,,,,,
t133,eval,10,2,1.7647902694976395e-13,,,,,
t115,eval,15,3,0.22743702545896555,,,,,
t35,eval,15,3,0.10156843174064956,,,,,
t126,eval,15,3,0.1340328074143277,,,,,
t26,eval,15,3,0.23652801985576238,,,,,
t121,eval,15,3,0.19803242179670158,,,,,
t42,eval,15,3,0.18306871547050085,,,,,
t116,eval,15,3,0.28977563018487995,,,,,
t38,eval,15,3,0.1945694627696253,,,,,
t21,eval,15,3,0.2886739604458797,,,,,
t53,eval,15,3,0.12039157946215426,,,,,
t55,eval,15,3,0.3080197346391946,,,,,
t43,eval,15,3,0.16492145229246255,,,,,
t111,eval,15,3,0.21677569202985875,,,,,
t71,eval,15,3,0.14026291985155837,,,,,
t24,eval,15,3,0.19005861707591437,,,,,
t30,eval,15,3,0.23751715345065855,,,,,
t78,eval,15,3,0.13298871388192698,,,,,
t73,eval,15,3,0.22235705283391127,,,,,
t40,eval,15,3,0.2644038515851147,,,,,
t133,eval,15,3,0.32171332262574587,,,,,
t115,eval,20,4,0.0016754682917262305,,,,,
t35,eval,20,4,1.8506134241325676e-13,,,,,
t126,eval,20,4,0.028395217513797325,,,,,
t26,eval,20,4,2.0820603418494757e-13,,,,,
t121,eval,20,4,1.108735702614787e-13,,,,,
t42,eval,20,4,0.0047926461033330715,,,,,
t116,eval,20,4,0.016789846178341453,,,,,
t38,eval,20,4,0.0003770676120798635,,,,,
t21,eval,20,4,0.0180706433858558,,,,,
t53,eval,20,4,0.0027301698625858315,,,,,
t55,eval,20,4,0.008916023144830297,,,,,
t43,eval,20,4,0.00048608856320947783,,,,,
t111,eval,20,4,0.004891529061324636,,,,,
t71,eval,20,4,1.0273969029279836e-13,,,,,
t24,eval,20,4,0.00936005556082071,,,,,
t30,eval,20,4,0.007760204821077103,,,,,
t78,eval,20,4,0.005088761817858062,,,,,
